Time[s], MOSI, MISO, SCLK, CSC
6.223320500000000, 0, 1, 1, 0
6.223320624999999, 0, 1, 0, 0
6.223320875000000, 0, 1, 1, 0
6.223321125000000, 0, 1, 0, 0
6.223322125000000, 0, 1, 1, 0
6.223322375000000, 0, 1, 0, 0
6.223322625000000, 0, 1, 1, 0
6.223322875000000, 0, 1, 0, 0
6.223323000000000, 0, 1, 1, 0
6.223323250000000, 0, 1, 0, 0
6.223323499999999, 0, 1, 1, 0
6.223323750000000, 0, 1, 0, 0
6.223324000000000, 0, 1, 1, 0
6.223324125000000, 0, 1, 0, 0
6.223324375000000, 0, 1, 1, 0
6.223324625000000, 0, 1, 0, 0
6.223324874999999, 0, 1, 1, 0
6.223325000000000, 0, 1, 0, 0
6.223325249999999, 0, 1, 1, 0
6.223325500000000, 0, 1, 0, 0
6.223326750000000, 0, 1, 0, 1
6.223552124999999, 0, 1, 0, 0
6.223552750000000, 0, 1, 1, 0
6.223553000000000, 0, 1, 0, 0
6.223553250000000, 0, 1, 1, 0
6.223553500000000, 0, 1, 0, 0
6.223553750000000, 1, 1, 1, 0
6.223553874999999, 1, 1, 0, 0
6.223554125000000, 1, 1, 1, 0
6.223554375000000, 1, 1, 0, 0
6.223554624999999, 0, 1, 1, 0
6.223554750000000, 0, 1, 0, 0
6.223554999999999, 0, 1, 1, 0
6.223555250000000, 0, 1, 0, 0
6.223555500000000, 1, 1, 1, 0
6.223555750000000, 1, 1, 0, 0
6.223555875000000, 0, 1, 1, 0
6.223556125000000, 0, 1, 0, 0
6.223557250000000, 0, 1, 1, 0
6.223557500000000, 0, 1, 0, 0
6.223557749999999, 0, 1, 1, 0
6.223558000000000, 0, 1, 0, 0
6.223558124999999, 0, 1, 1, 0
6.223558375000000, 0, 1, 0, 0
6.223558625000000, 0, 1, 1, 0
6.223558875000000, 0, 1, 0, 0
6.223559125000000, 0, 1, 1, 0
6.223559250000000, 0, 1, 0, 0
6.223559499999999, 0, 1, 1, 0
6.223559750000000, 0, 1, 0, 0
6.223560000000000, 0, 1, 1, 0
6.223560125000000, 0, 1, 0, 0
6.223560375000000, 0, 1, 1, 0
6.223560624999999, 0, 1, 0, 0
6.223561624999999, 0, 1, 1, 0
6.223561875000000, 0, 1, 0, 0
6.223562125000000, 0, 1, 1, 0
6.223562374999999, 0, 1, 0, 0
6.223562625000000, 0, 1, 1, 0
