Time [s],MOSI,MISO,SPI_CLK,SPI_SS,PKT_flag,RESET_n
2.497891500,1,0,0,0,0,1
2.497893500,1,0,0,1,0,1
2.497894708,1,1,0,1,0,1
2.499826417,1,0,0,0,0,1
2.499828583,1,0,1,0,0,1
2.499829542,1,0,0,0,0,1
2.499830500,0,0,1,0,0,1
2.499831417,0,0,0,0,0,1
2.499832375,1,0,1,0,0,1
2.499833333,1,0,0,0,0,1
2.499834292,1,1,1,0,0,1
2.499835208,1,1,0,0,0,1
2.499836167,0,0,1,0,0,1
2.499837125,0,0,0,0,0,1
2.499838083,0,0,1,0,0,1
2.499839000,0,0,0,0,0,1
2.499839958,0,1,1,0,0,1
2.499840917,0,1,0,0,0,1
2.499841875,0,0,1,0,0,1
2.499842833,0,0,0,0,0,1
2.499846625,1,0,1,0,0,1
2.499847542,1,0,0,0,0,1
2.499848500,1,0,1,0,0,1
2.499849458,1,0,0,0,0,1
2.499850417,1,0,1,0,0,1
2.499851375,1,0,0,0,0,1
2.499852292,1,1,1,0,0,1
2.499853250,1,1,0,0,0,1
2.499854208,1,0,1,0,0,1
2.499855167,1,0,0,0,0,1
2.499856083,1,0,1,0,0,1
2.499857042,1,0,0,0,0,1
2.499858000,1,1,1,0,0,1
2.499858958,1,1,0,0,0,1
2.499859875,1,1,1,0,0,1
2.499859917,1,0,1,0,0,1
2.499860833,1,0,0,0,0,1
2.499864833,1,0,1,0,0,1
2.499865750,1,0,0,0,0,1
2.499866708,1,0,1,0,0,1
2.499867667,1,0,0,0,0,1
2.499868625,1,0,1,0,0,1
2.499869583,1,0,0,0,0,1
2.499870500,1,1,1,0,0,1
2.499871458,1,1,0,0,0,1
2.499872417,1,0,1,0,0,1
2.499873375,1,0,0,0,0,1
2.499874292,1,1,1,0,0,1
2.499875250,1,1,0,0,0,1
2.499876208,1,0,1,0,0,1
2.499877167,1,0,0,0,0,1
2.499878083,1,0,1,0,0,1
2.499879042,1,0,0,0,0,1
2.499881042,1,0,0,1,0,1
2.499882292,1,1,0,1,0,1
2.501813958,1,0,0,0,0,1
2.501816083,1,0,1,0,0,1
2.501817042,1,0,0,0,0,1
2.501818000,0,0,1,0,0,1
2.501818958,0,0,0,0,0,1
2.501819875,0,0,1,0,0,1
2.501819917,1,0,1,0,0,1
2.501820833,1,0,0,0,0,1
2.501821792,1,1,1,0,0,1
2.501822750,1,1,0,0,0,1
2.501823708,0,0,1,0,0,1
2.501824625,0,0,0,0,0,1
2.501825583,0,0,1,0,0,1
2.501826542,0,0,0,0,0,1
2.501827500,0,1,1,0,0,1
2.501828417,0,1,0,0,0,1
2.501829375,0,0,1,0,0,1
2.501830333,0,0,0,0,0,1
2.501834125,1,0,1,0,0,1
2.501835083,1,0,0,0,0,1
2.501836042,1,0,1,0,0,1
2.501836958,1,0,0,0,0,1
2.501837917,1,0,1,0,0,1
2.501838875,1,0,0,0,0,1
2.501839833,1,1,1,0,0,1
2.501840750,1,1,0,0,0,1
2.501841708,1,0,1,0,0,1
2.501842667,1,0,0,0,0,1
2.501843625,1,0,1,0,0,1
2.501844542,1,0,0,0,0,1
2.501845500,1,1,1,0,0,1
2.501846458,1,1,0,0,0,1
2.501847417,1,0,1,0,0,1
2.501848375,1,0,0,0,0,1
2.501852333,1,0,1,0,0,1
2.501853292,1,0,0,0,0,1
2.501854250,1,0,1,0,0,1
2.501855167,1,0,0,0,0,1
2.501856125,1,0,1,0,0,1
2.501857083,1,0,0,0,0,1
2.501858042,1,1,1,0,0,1
2.501858958,1,1,0,0,0,1
2.501859917,1,0,1,0,0,1
2.501860875,1,0,0,0,0,1
2.501861833,1,1,1,0,0,1
2.501862750,1,1,0,0,0,1
2.501863708,1,0,1,0,0,1
2.501864667,1,0,0,0,0,1
2.501865625,1,0,1,0,0,1
2.501866583,1,0,0,0,0,1
2.501868583,1,0,0,1,0,1
2.501869833,1,1,0,1,0,1
2.503801417,1,0,0,0,0,1
2.503803583,1,0,1,0,0,1
2.503804542,1,0,0,0,0,1
2.503805458,1,0,1,0,0,1
2.503805500,0,0,1,0,0,1
2.503806417,0,0,0,0,0,1
2.503807375,1,0,1,0,0,1
2.503808333,1,0,0,0,0,1
2.503809250,1,0,1,0,0,1
2.503809292,1,1,1,0,0,1
2.503810208,1,1,0,0,0,1
2.503811167,0,0,1,0,0,1
2.503812125,0,0,0,0,0,1
2.503813042,0,0,1,0,0,1
2.503814000,0,0,0,0,0,1
2.503814958,0,1,1,0,0,1
2.503815917,0,1,0,0,0,1
2.503816875,0,0,1,0,0,1
2.503817792,0,0,0,0,0,1
2.503821583,0,0,1,0,0,1
2.503821625,1,0,1,0,0,1
2.503822542,1,0,0,0,0,1
2.503823500,1,0,1,0,0,1
2.503824458,1,0,0,0,0,1
2.503825417,1,0,1,0,0,1
2.503826333,1,0,0,0,0,1
2.503827292,1,1,1,0,0,1
2.503828250,1,1,0,0,0,1
2.503829208,1,0,1,0,0,1
2.503830125,1,0,0,0,0,1
2.503831083,1,0,1,0,0,1
2.503832042,1,0,0,0,0,1
2.503833000,1,1,1,0,0,1
2.503833958,1,1,0,0,0,1
2.503834875,1,0,1,0,0,1
2.503835833,1,0,0,0,0,1
2.503839792,1,0,1,0,0,1
2.503840750,1,0,0,0,0,1
2.503841708,1,0,1,0,0,1
2.503842667,1,0,0,0,0,1
2.503843625,1,0,1,0,0,1
