Time [s],MOSI,MISO,SCK,CS
1.804204458,0,0,0,0
1.804204542,0,0,1,0
1.804204667,0,0,0,0
1.804204792,0,0,1,0
1.804204875,0,0,0,0
1.804204917,0,1,0,0
1.804205000,0,1,1,0
1.804205125,1,1,0,0
1.804205208,1,1,1,0
1.804205333,0,1,0,0
1.804205458,0,1,1,0
1.804205542,0,1,0,0
1.804205667,0,1,1,0
1.804205792,0,0,0,0
1.804206292,1,0,0,0
1.804206500,1,0,1,0
1.804206625,0,0,0,0
1.804206708,0,0,1,0
1.804206833,0,0,0,0
1.804206958,0,0,1,0
1.804207042,0,0,0,0
1.804207167,0,0,1,0
1.804207292,1,1,0,0
1.804207375,1,1,1,0
1.804207500,0,1,0,0
1.804207625,0,1,1,0
1.804207708,0,1,0,0
1.804207833,0,1,1,0
1.804207958,0,1,0,0
1.804208042,0,1,1,0
1.804208167,1,0,0,0
1.804208875,1,0,1,0
1.804209000,0,0,0,0
1.804209125,0,0,1,0
1.804209208,1,0,0,0
1.804209333,1,0,1,0
1.804209458,0,0,0,0
1.804209542,0,0,1,0
1.804209667,1,1,0,0
1.804209792,1,1,1,0
1.804209875,0,1,0,0
1.804210000,0,1,1,0
1.804210125,1,1,0,0
1.804210208,1,1,1,0
1.804210333,0,1,0,0
1.804210458,0,1,1,0
1.804210542,0,1,0,0
1.804210583,1,0,0,0
1.804211083,0,0,0,0
1.804211292,0,0,1,0
1.804211375,0,0,0,0
1.804211417,1,0,0,0
1.804211500,1,0,1,0
1.804211625,0,0,0,0
1.804211708,0,0,1,0
1.804211833,1,0,0,0
1.804211958,1,0,1,0
1.804212042,0,0,0,0
1.804212083,0,1,0,0
1.804212167,0,1,1,0
1.804212292,0,1,0,0
1.804212375,0,1,1,0
1.804212500,0,1,0,0
1.804212625,0,1,1,0
1.804212708,0,1,0,0
1.804212833,0,1,1,0
1.804212958,0,0,0,0
1.804213667,0,0,1,0
1.804213792,0,0,0,0
1.804213917,0,0,1,0
1.804214000,0,0,0,0
1.804214125,0,0,1,0
1.804214208,0,0,0,0
1.804214333,0,0,1,0
1.804214458,0,1,0,0
1.804214583,0,1,1,0
1.804214667,0,1,0,0
1.804214792,0,1,1,0
1.804214875,0,1,0,0
1.804215000,0,1,1,0
1.804215125,0,1,0,0
1.804215250,0,1,1,0
1.804215333,0,0,0,0
1.804215875,1,0,0,0
1.804216083,1,0,1,0
1.804216167,0,0,0,0
1.804216292,0,0,1,0
1.804216417,0,0,0,0
1.804216500,0,0,1,0
1.804216625,0,0,0,0
1.804216750,0,0,1,0
1.804216833,1,1,0,0
1.804216958,1,1,1,0
1.804217083,0,1,0,0
1.804217167,0,1,1,0
1.804217292,0,1,0,0
1.804217417,0,1,1,0
1.804217500,0,1,0,0
1.804217625,0,1,1,0
1.804217750,1,0,0,0
1.804218250,0,0,0,0
1.804218458,0,0,1,0
1.804218583,1,0,0,0
1.804218667,1,0,1,0
1.804218792,0,0,0,0
1.804218917,0,0,1,0
1.804219000,0,0,0,0
1.804219125,0,0,1,0
1.804219250,0,1,0,0
1.804219333,0,1,1,0
1.804219458,1,1,0,0
1.804219583,1,1,1,0
1.804219667,0,1,0,0
1.804219792,0,1,1,0
1.804219917,0,1,0,0
1.804220000,0,1,1,0
1.804220125,0,0,0,0
1.804220667,1,0,0,0
1.804220833,1,0,1,0
1.804220958,1,0,0,0
1.804221083,1,0,1,0
1.804221167,0,0,0,0
1.804221292,0,0,1,0
1.804221417,0,0,0,0
1.804221500,0,0,1,0
1.804221625,1,1,0,0
1.804221750,1,1,1,0
1.804221833,1,1,0,0
1.804221958,1,1,1,0
1.804222083,0,1,0,0
1.804222167,0,1,1,0
1.804222292,0,1,0,0
1.804222417,0,1,1,0
1.804222500,1,1,0,0
1.804222542,1,0,0,0
1.804223042,0,0,0,0
1.804223250,0,0,1,0
1.804223333,1,0,0,0
1.804223458,1,0,1,0
1.804223583,1,0,0,0
1.804223667,1,0,1,0
1.804223792,0,0,0,0
1.804223917,0,0,1,0
1.804224000,0,1,0,0
1.804224125,0,1,1,0
1.804224250,0,1,0,0
1.804224333,0,1,1,0
1.804224458,0,1,0,0
1.804224583,0,1,1,0
1.804224667,0,1,0,0
1.804224792,0,1,1,0
1.804224917,0,0,0,0
1.804225417,1,0,0,0
1.804225625,1,0,1,0
1.804225750,1,0,0,0
1.804225833,1,0,1,0
1.804225958,0,0,0,0
1.804226083,0,0,1,0
1.804226167,1,0,0,0
1.804226292,1,0,1,0
1.804226417,0,1,0,0
1.804226500,0,1,1,0
1.804226625,1,1,0,0
1.804226750,1,1,1,0
1.804226833,0,1,0,0
1.804226958,0,1,1,0
1.804227083,1,1,0,0
1.804227167,1,1,1,0
1.804227292,1,0,0,0
1.804227833,0,0,0,0
1.804228000,0,0,1,0
1.804228125,0,0,0,0
1.804228250,0,0,1,0
1.804228333,1,0,0,0
1.804228458,1,0,1,0
1.804228583,1,0,0,0
1.804228667,1,0,1,0
1.804228792,1,1,0,0
1.804228917,1,1,1,0
1.804229000,1,1,0,0
1.804229125,1,1,1,0
1.804229250,1,1,0,0
1.804229333,1,1,1,0
1.804229458,1,1,0,0
1.804229583,1,1,1,0
1.804229667,0,1,0,0
1.804229708,0,0,0,0
1.804230208,1,0,0,0
1.804230417,1,0,1,0
1.804230500,0,0,0,0
1.804230625,0,0,1,0
1.804230750,1,0,0,0
1.804230833,1,0,1,0
1.804230958,1,0,0,0
1.804231083,1,0,1,0
1.804231167,0,0,0,0
1.804231208,0,1,0,0
1.804231292,0,1,1,0
1.804231417,1,1,0,0
1.804231500,1,1,1,0
1.804231625,0,1,0,0
1.804231750,0,1,1,0
1.804231833,1,1,0,0
1.804231958,1,1,1,0
1.804232083,1,0,0,0
1.804232583,0,0,0,0
1.804232792,0,0,1,0
1.804232917,0,0,0,0
1.804233000,0,0,1,0
1.804233125,0,0,0,0
1.804233250,0,0,1,0
1.804233333,0,0,0,0
1.804233458,0,0,1,0
1.804233583,0,1,0,0
1.804233667,0,1,1,0
1.804233792,0,1,0,0
1.804233917,0,1,1,0
1.804234000,0,1,0,0
1.804234125,0,1,1,0
1.804234250,0,1,0,0
1.804234333,0,1,1,0
1.804234458,0,0,0,0
1.804235167,0,0,1,0
1.804235292,1,0,0,0
1.804235417,1,0,1,0
1.804235500,1,0,0,0
1.804235625,1,0,1,0
1.804235750,0,0,0,0
1.804235833,0,0,1,0
1.804235958,0,1,0,0
1.804236083,0,1,1,0
1.804236167,0,1,0,0
1.804236292,0,1,1,0
1.804236417,1,1,0,0
