Time [s],MOSI,MISO,SCK,NRF_CS,NRF_CE,RESET_n,Channel 6,Channel 7
1.605165500,1,0,1,0,1,1,1,1
1.605165583,0,0,0,0,1,1,1,1
1.605165708,0,0,1,0,1,1,1,1
1.605165833,0,0,0,0,1,1,1,1
1.605165917,0,0,1,0,1,1,1,1
1.605166042,0,0,0,0,1,1,1,1
1.605166167,0,0,1,0,1,1,1,1
1.605166250,1,0,0,0,1,1,1,1
1.605167000,1,0,1,0,1,1,1,1
1.605167083,0,0,0,0,1,1,1,1
1.605167208,0,0,1,0,1,1,1,1
1.605167333,0,0,0,0,1,1,1,1
1.605167417,0,0,1,0,1,1,1,1
1.605167542,1,0,0,0,1,1,1,1
1.605167667,1,0,1,0,1,1,1,1
1.605167750,1,0,0,0,1,1,1,1
1.605167875,1,0,1,0,1,1,1,1
1.605168000,0,0,0,0,1,1,1,1
1.605168083,0,0,1,0,1,1,1,1
1.605168208,1,0,0,0,1,1,1,1
1.605168333,1,0,1,0,1,1,1,1
1.605168417,0,0,0,0,1,1,1,1
1.605168542,0,0,1,0,1,1,1,1
1.605168667,1,0,0,0,1,1,1,1
1.605169167,0,0,0,0,1,1,1,1
1.605169375,0,0,1,0,1,1,1,1
1.605169500,0,0,0,0,1,1,1,1
1.605169583,0,0,1,0,1,1,1,1
1.605169708,1,0,0,0,1,1,1,1
1.605169833,1,0,1,0,1,1,1,1
1.605169917,0,0,0,0,1,1,1,1
1.605170042,0,0,1,0,1,1,1,1
1.605170167,1,0,0,0,1,1,1,1
1.605170250,1,0,1,0,1,1,1,1
1.605170375,1,0,0,0,1,1,1,1
1.605170500,1,0,1,0,1,1,1,1
1.605170583,0,0,0,0,1,1,1,1
1.605170708,0,0,1,0,1,1,1,1
1.605170833,1,0,0,0,1,1,1,1
1.605170917,1,0,1,0,1,1,1,1
1.605171042,0,0,0,0,1,1,1,1
1.605171750,0,0,1,0,1,1,1,1
1.605171875,1,0,0,0,1,1,1,1
1.605172000,1,0,1,0,1,1,1,1
1.605172083,1,0,0,0,1,1,1,1
1.605172208,1,0,1,0,1,1,1,1
1.605172333,1,0,0,0,1,1,1,1
1.605172417,1,0,1,0,1,1,1,1
1.605172542,0,0,0,0,1,1,1,1
1.605172667,0,0,1,0,1,1,1,1
1.605172750,1,0,0,0,1,1,1,1
1.605172875,1,0,1,0,1,1,1,1
1.605173000,0,0,0,0,1,1,1,1
1.605173083,0,0,1,0,1,1,1,1
1.605173208,0,0,0,0,1,1,1,1
1.605173333,0,0,1,0,1,1,1,1
1.605173417,0,0,0,0,1,1,1,1
1.605173958,1,0,0,0,1,1,1,1
1.605174167,1,0,1,0,1,1,1,1
1.605174250,1,0,0,0,1,1,1,1
1.605174375,1,0,1,0,1,1,1,1
1.605174500,0,0,0,0,1,1,1,1
1.605174583,0,0,1,0,1,1,1,1
1.605174708,1,0,0,0,1,1,1,1
1.605174833,1,0,1,0,1,1,1,1
1.605174917,0,0,0,0,1,1,1,1
1.605175042,0,0,1,0,1,1,1,1
1.605175167,1,0,0,0,1,1,1,1
1.605175250,1,0,1,0,1,1,1,1
1.605175375,1,0,0,0,1,1,1,1
1.605175500,1,0,1,0,1,1,1,1
1.605175583,1,0,0,0,1,1,1,1
1.605175708,1,0,1,0,1,1,1,1
1.605175833,1,0,0,0,1,1,1,1
1.605176542,1,0,1,0,1,1,1,1
1.605176667,1,0,0,0,1,1,1,1
1.605176750,1,0,1,0,1,1,1,1
1.605176875,1,0,0,0,1,1,1,1
1.605177000,1,0,1,0,1,1,1,1
1.605177083,0,0,0,0,1,1,1,1
1.605177208,0,0,1,0,1,1,1,1
1.605177333,0,0,0,0,1,1,1,1
1.605177417,0,0,1,0,1,1,1,1
1.605177542,1,0,0,0,1,1,1,1
1.605177667,1,0,1,0,1,1,1,1
1.605177750,0,0,0,0,1,1,1,1
1.605177875,0,0,1,0,1,1,1,1
1.605178000,0,0,0,0,1,1,1,1
1.605178083,0,0,1,0,1,1,1,1
1.605178208,1,0,0,0,1,1,1,1
1.605178750,0,0,0,0,1,1,1,1
1.605178917,0,0,1,0,1,1,1,1
1.605179042,1,0,0,0,1,1,1,1
1.605179167,1,0,1,0,1,1,1,1
1.605179250,0,0,0,0,1,1,1,1
1.605179375,0,0,1,0,1,1,1,1
1.605179500,1,0,0,0,1,1,1,1
1.605179583,1,0,1,0,1,1,1,1
1.605179708,1,0,0,0,1,1,1,1
1.605179833,1,0,1,0,1,1,1,1
1.605179917,1,0,0,0,1,1,1,1
1.605180042,1,0,1,0,1,1,1,1
1.605180167,1,0,0,0,1,1,1,1
1.605180250,1,0,1,0,1,1,1,1
1.605180375,0,0,0,0,1,1,1,1
1.605180500,0,0,1,0,1,1,1,1
1.605180583,0,0,0,0,1,1,1,1
1.605181125,1,0,0,0,1,1,1,1
1.605181333,1,0,1,0,1,1,1,1
1.605181417,1,0,0,0,1,1,1,1
1.605181458,0,0,0,0,1,1,1,1
1.605181542,0,0,1,0,1,1,1,1
1.605181667,1,0,0,0,1,1,1,1
1.605181750,1,0,1,0,1,1,1,1
1.605181875,1,0,0,0,1,1,1,1
1.605182000,1,0,1,0,1,1,1,1
1.605182083,0,0,0,0,1,1,1,1
1.605182208,0,0,1,0,1,1,1,1
1.605182333,0,0,0,0,1,1,1,1
1.605182417,0,0,1,0,1,1,1,1
1.605182542,1,0,0,0,1,1,1,1
1.605182667,1,0,1,0,1,1,1,1
1.605182750,1,0,0,0,1,1,1,1
1.605182875,1,0,1,0,1,1,1,1
1.605183000,1,0,0,0,1,1,1,1
1.605183708,1,0,1,0,1,1,1,1
1.605183833,0,0,0,0,1,1,1,1
1.605183958,0,0,1,0,1,1,1,1
1.605184042,1,0,0,0,1,1,1,1
1.605184167,1,0,1,0,1,1,1,1
1.605184250,1,0,0,0,1,1,1,1
1.605184375,1,0,1,0,1,1,1,1
1.605184500,0,0,0,0,1,1,1,1
1.605184625,0,0,1,0,1,1,1,1
1.605184708,0,0,0,0,1,1,1,1
1.605184833,0,0,1,0,1,1,1,1
1.605184917,0,0,0,0,1,1,1,1
1.605184958,1,0,0,0,1,1,1,1
1.605185042,1,0,1,0,1,1,1,1
1.605185167,0,0,0,0,1,1,1,1
1.605185292,0,0,1,0,1,1,1,1
1.605185375,1,0,0,0,1,1,1,1
1.605186125,1,0,1,0,1,1,1,1
1.605186208,0,0,0,0,1,1,1,1
1.605186333,0,0,1,0,1,1,1,1
1.605186417,0,0,0,0,1,1,1,1
1.605186458,1,0,0,0,1,1,1,1
1.605186542,1,0,1,0,1,1,1,1
1.605186667,0,0,0,0,1,1,1,1
1.605186792,0,0,1,0,1,1,1,1
1.605186875,1,0,0,0,1,1,1,1
1.605187000,1,0,1,0,1,1,1,1
1.605187083,1,0,0,0,1,1,1,1
1.605187208,1,0,1,0,1,1,1,1
1.605187333,1,0,0,0,1,1,1,1
1.605187458,1,0,1,0,1,1,1,1
1.605187542,0,0,0,0,1,1,1,1
1.605187667,0,0,1,0,1,1,1,1
1.605187750,0,0,0,0,1,1,1,1
1.605187792,1,0,0,0,1,1,1,1
1.605188292,0,0,0,0,1,1,1,1
1.605188500,0,0,1,0,1,1,1,1
1.605188625,0,0,0,0,1,1,1,1
1.605188708,0,0,1,0,1,1,1,1
1.605188833,1,0,0,0,1,1,1,1
1.605188958,1,0,1,0,1,1,1,1
1.605189042,1,0,0,0,1,1,1,1
1.605189167,1,0,1,0,1,1,1,1
1.605189292,0,0,0,0,1,1,1,1
1.605189375,0,0,1,0,1,1,1,1
1.605189500,0,0,0,0,1,1,1,1
1.605189625,0,0,1,0,1,1,1,1
1.605189708,1,0,0,0,1,1,1,1
1.605189833,1,0,1,0,1,1,1,1
1.605189958,0,0,0,0,1,1,1,1
1.605190042,0,0,1,0,1,1,1,1
1.605190167,0,0,0,0,1,1,1,1
1.605190875,0,0,1,0,1,1,1,1
1.605191000,0,0,0,0,1,1,1,1
1.605191125,0,0,1,0,1,1,1,1
1.605191208,1,0,0,0,1,1,1,1
1.605191333,1,0,1,0,1,1,1,1
1.605191458,1,0,0,0,1,1,1,1
1.605191542,1,0,1,0,1,1,1,1
1.605191667,0,0,0,0,1,1,1,1
1.605191792,0,0,1,0,1,1,1,1
1.605191875,1,0,0,0,1,1,1,1
1.605192000,1,0,1,0,1,1,1,1
1.605192125,1,0,0,0,1,1,1,1
1.605192208,1,0,1,0,1,1,1,1
1.605192333,0,0,0,0,1,1,1,1
1.605192458,0,0,1,0,1,1,1,1
1.605192542,0,0,0,0,1,1,1,1
1.605193083,1,0,0,0,1,1,1,1
1.605193292,1,0,1,0,1,1,1,1
1.605193375,0,0,0,0,1,1,1,1
1.605193500,0,0,1,0,1,1,1,1
1.605193625,1,0,0,0,1,1,1,1
1.605193708,1,0,1,0,1,1,1,1
1.605193833,0,0,0,0,1,1,1,1
1.605193958,0,0,1,0,1,1,1,1
1.605194042,1,0,0,0,1,1,1,1
1.605194167,1,0,1,0,1,1,1,1
1.605194292,1,0,0,0,1,1,1,1
1.605194375,1,0,1,0,1,1,1,1
1.605194500,0,0,0,0,1,1,1,1
1.605194625,0,0,1,0,1,1,1,1
1.605194708,0,0,0,0,1,1,1,1
1.605194833,0,0,1,0,1,1,1,1
1.605194958,1,0,0,0,1,1,1,1
1.605195458,0,0,0,0,1,1,1,1
1.605195667,0,0,1,0,1,1,1,1
1.605195792,1,0,0,0,1,1,1,1
1.605195875,1,0,1,0,1,1,1,1
1.605196000,1,0,0,0,1,1,1,1
1.605196125,1,0,1,0,1,1,1,1
1.605196208,0,0,0,0,1,1,1,1
1.605196333,0,0,1,0,1,1,1,1
1.605196458,1,0,0,0,1,1,1,1
1.605196542,1,0,1,0,1,1,1,1
1.605196667,1,0,0,0,1,1,1,1
1.605196792,1,0,1,0,1,1,1,1
1.605196875,0,0,0,0,1,1,1,1
1.605197000,0,0,1,0,1,1,1,1
1.605197125,0,0,0,0,1,1,1,1
1.605197208,0,0,1,0,1,1,1,1
1.605197333,0,0,0,0,1,1,1,1
1.605197875,1,0,0,0,1,1,1,1
1.605198042,1,0,1,0,1,1,1,1
1.605198167,1,0,0,0,1,1,1,1
1.605198292,1,0,1,0,1,1,1,1
1.605198375,1,0,0,0,1,1,1,1
1.605198500,1,0,1,0,1,1,1,1
1.605198625,0,0,0,0,1,1,1,1
1.605198708,0,0,1,0,1,1,1,1
1.605198833,1,0,0,0,1,1,1,1
1.605198958,1,0,1,0,1,1,1,1
1.605199042,0,0,0,0,1,1,1,1
1.605199167,0,0,1,0,1,1,1,1
1.605199292,1,0,0,0,1,1,1,1
1.605199375,1,0,1,0,1,1,1,1
1.605199500,0,0,0,0,1,1,1,1
1.605199625,0,0,1,0,1,1,1,1
1.605199708,1,0,0,0,1,1,1,1
1.605200250,0,0,0,0,1,1,1,1
1.605200458,0,0,1,0,1,1,1,1
1.605200542,0,0,0,0,1,1,1,1
1.605200667,0,0,1,0,1,1,1,1
1.605200792,0,0,0,0,1,1,1,1
1.605200875,0,0,1,0,1,1,1,1
1.605201000,1,0,0,0,1,1,1,1
1.605201125,1,0,1,0,1,1,1,1
1.605201208,1,0,0,0,1,1,1,1
1.605201333,1,0,1,0,1,1,1,1
1.605201458,0,0,0,0,1,1,1,1
1.605201542,0,0,1,0,1,1,1,1
1.605201667,1,0,0,0,1,1,1,1
1.605201792,1,0,1,0,1,1,1,1
1.605201875,1,0,0,0,1,1,1,1
1.605202000,1,0,1,0,1,1,1,1
1.605202125,0,0,0,0,1,1,1,1
1.605202625,1,0,0,0,1,1,1,1
1.605202833,1,0,1,0,1,1,1,1
1.605202958,1,0,0,0,1,1,1,1
1.605203042,1,0,1,0,1,1,1,1
1.605203167,0,0,0,0,1,1,1,1
1.605203292,0,0,1,0,1,1,1,1
1.605203375,0,0,0,0,1,1,1,1
1.605203500,0,0,1,0,1,1,1,1
1.605203625,0,0,0,0,1,1,1,1
1.605203708,0,0,1,0,1,1,1,1
1.605203833,1,0,0,0,1,1,1,1
1.605203958,1,0,1,0,1,1,1,1
1.605204042,0,0,0,0,1,1,1,1
1.605204167,0,0,1,0,1,1,1,1
1.605204292,1,0,0,0,1,1,1,1
1.605204375,1,0,1,0,1,1,1,1
1.605204500,1,0,0,0,1,1,1,1
1.605205208,1,0,1,0,1,1,1,1
1.605205333,0,0,0,0,1,1,1,1
1.605205458,0,0,1,0,1,1,1,1
1.605205542,0,0,0,0,1,1,1,1
1.605205667,0,0,1,0,1,1,1,1
1.605205792,0,0,0,0,1,1,1,1
1.605205875,0,0,1,0,1,1,1,1
1.605206000,0,0,0,0,1,1,1,1
1.605206125,0,0,1,0,1,1,1,1
1.605206208,0,0,0,0,1,1,1,1
