Time [s],MOSI,MISO,SPI_CLK,SPI_SS,PKT_flag,RESET_n
2.129119167,0,0,1,0,0,1
2.129120083,0,0,0,0,0,1
2.129121042,0,0,1,0,0,1
2.129122000,0,0,0,0,0,1
2.129122958,0,1,1,0,0,1
2.129123875,0,1,0,0,0,1
2.129124833,0,0,1,0,0,1
2.129125792,0,0,0,0,0,1
2.129129583,1,0,1,0,0,1
2.129130542,1,0,0,0,0,1
2.129131500,1,0,1,0,0,1
2.129132417,1,0,0,0,0,1
2.129133375,1,0,1,0,0,1
2.129134333,1,0,0,0,0,1
2.129135292,1,1,1,0,0,1
2.129136208,1,1,0,0,0,1
2.129137167,1,0,1,0,0,1
2.129138125,1,0,0,0,0,1
2.129139083,1,0,1,0,0,1
2.129140042,1,0,0,0,0,1
2.129140958,1,1,1,0,0,1
2.129141917,1,1,0,0,0,1
2.129142875,1,0,1,0,0,1
2.129143833,1,0,0,0,0,1
2.129147792,1,0,1,0,0,1
2.129148750,1,0,0,0,0,1
2.129149708,1,0,1,0,0,1
2.129150625,1,0,0,0,0,1
2.129151583,1,0,1,0,0,1
2.129152542,1,0,0,0,0,1
2.129153500,1,0,1,0,0,1
2.129154458,1,0,0,0,0,1
2.129155375,1,1,1,0,0,1
2.129156333,1,1,0,0,0,1
2.129157292,1,0,1,0,0,1
2.129158250,1,0,0,0,0,1
2.129159167,1,0,1,0,0,1
2.129160125,1,0,0,0,0,1
2.129161083,1,0,1,0,0,1
2.129162042,1,0,0,0,0,1
2.129164042,1,0,0,1,0,1
2.129165333,1,1,0,1,0,1
2.131097167,1,0,0,0,0,1
2.131099333,1,0,1,0,0,1
2.131100292,1,0,0,0,0,1
2.131101250,0,0,1,0,0,1
2.131102208,0,0,0,0,0,1
2.131103125,0,0,1,0,0,1
2.131103167,1,0,1,0,0,1
2.131104083,1,0,0,0,0,1
2.131105042,1,1,1,0,0,1
2.131106000,1,1,0,0,0,1
2.131106917,1,0,1,0,0,1
2.131106958,0,0,1,0,0,1
2.131107875,0,0,0,0,0,1
2.131108833,0,0,1,0,0,1
2.131109792,0,0,0,0,0,1
2.131110708,0,0,1,0,0,1
2.131110750,0,1,1,0,0,1
2.131111667,0,1,0,0,0,1
2.131112625,0,0,1,0,0,1
2.131113583,0,0,0,0,0,1
2.131117375,1,0,1,0,0,1
2.131118333,1,0,0,0,0,1
2.131119250,1,0,1,0,0,1
2.131120208,1,0,0,0,0,1
2.131121167,1,0,1,0,0,1
2.131122125,1,0,0,0,0,1
2.131123042,1,0,1,0,0,1
2.131123083,1,1,1,0,0,1
2.131124000,1,1,0,0,0,1
2.131124958,1,0,1,0,0,1
2.131125917,1,0,0,0,0,1
2.131126875,1,0,1,0,0,1
2.131127792,1,0,0,0,0,1
2.131128750,1,1,1,0,0,1
2.131129708,1,1,0,0,0,1
2.131130667,1,0,1,0,0,1
2.131131583,1,0,0,0,0,1
2.131135583,1,0,1,0,0,1
2.131136542,1,0,0,0,0,1
2.131137458,1,0,1,0,0,1
2.131138417,1,0,0,0,0,1
2.131139375,1,0,1,0,0,1
2.131140333,1,0,0,0,0,1
2.131141292,1,0,1,0,0,1
2.131142208,1,0,0,0,0,1
2.131143167,1,1,1,0,0,1
2.131144125,1,1,0,0,0,1
2.131145083,1,0,1,0,0,1
2.131146000,1,0,0,0,0,1
2.131146958,1,0,1,0,0,1
2.131147917,1,0,0,0,0,1
2.131148875,1,0,1,0,0,1
2.131149833,1,0,0,0,0,1
2.131151833,1,0,0,1,0,1
2.131153125,1,1,0,1,0,1
2.133085292,1,0,0,0,0,1
2.133087458,1,0,1,0,0,1
2.133088417,1,0,0,0,0,1
2.133089375,0,0,1,0,0,1
2.133090333,0,0,0,0,0,1
2.133091250,0,0,1,0,0,1
2.133091292,1,0,1,0,0,1
2.133092208,1,0,0,0,0,1
2.133093167,1,1,1,0,0,1
