Time[s], MOSI, MISO, SCLK, CS, CE
4.186671250000000, 0, 0, 1, 0, 1
4.186671375000000, 1, 0, 0, 0, 1
4.186671500000000, 1, 0, 1, 0, 1
4.186671625000000, 0, 0, 0, 0, 1
4.186671687500000, 0, 0, 1, 0, 1
4.186671812500000, 0, 0, 0, 0, 1
4.186671937500000, 0, 0, 1, 0, 1
4.186672062500000, 0, 0, 0, 0, 1
4.186672124999999, 0, 0, 1, 0, 1
4.186672250000000, 0, 0, 0, 0, 1
4.186672375000000, 0, 0, 1, 0, 1
4.186672500000000, 0, 0, 0, 0, 1
4.186672625000000, 0, 0, 1, 0, 1
4.186672687500000, 1, 0, 0, 0, 1
4.186673437500000, 1, 0, 1, 0, 1
4.186673562500000, 0, 0, 0, 0, 1
4.186673687500000, 0, 0, 1, 0, 1
4.186673812500000, 1, 0, 0, 0, 1
4.186673874999999, 1, 0, 1, 0, 1
4.186674000000000, 0, 0, 0, 0, 1
4.186674125000000, 0, 0, 1, 0, 1
4.186674249999999, 0, 0, 0, 0, 1
4.186674375000000, 0, 0, 1, 0, 1
4.186674437500000, 0, 0, 0, 0, 1
4.186674562499999, 0, 0, 1, 0, 1
4.186674687500000, 0, 0, 0, 0, 1
4.186674812500000, 0, 0, 1, 0, 1
4.186674875000000, 0, 0, 0, 0, 1
4.186675000000000, 0, 0, 1, 0, 1
4.186675125000000, 1, 0, 0, 0, 1
4.186675687500000, 0, 0, 0, 0, 1
4.186675875000000, 0, 0, 1, 0, 1
4.186675999999999, 0, 0, 0, 0, 1
4.186676125000000, 0, 0, 1, 0, 1
4.186676187500000, 1, 0, 0, 0, 1
4.186676312499999, 1, 0, 1, 0, 1
4.186676437500000, 0, 0, 0, 0, 1
4.186676562500000, 0, 0, 1, 0, 1
4.186676625000000, 0, 0, 0, 0, 1
4.186676750000000, 0, 0, 1, 0, 1
4.186676875000000, 0, 0, 0, 0, 1
4.186677000000000, 0, 0, 1, 0, 1
4.186677125000000, 0, 0, 0, 0, 1
4.186677187500000, 0, 0, 1, 0, 1
4.186677312500000, 0, 0, 0, 0, 1
4.186677437500000, 0, 0, 1, 0, 1
4.186677562500000, 0, 0, 0, 0, 1
4.186678125000000, 1, 0, 0, 0, 1
4.186678312500000, 1, 0, 1, 0, 1
4.186678375000000, 1, 0, 0, 0, 1
4.186678500000000, 1, 0, 1, 0, 1
4.186678625000000, 0, 0, 0, 0, 1
4.186678750000000, 0, 0, 1, 0, 1
4.186678875000000, 0, 0, 0, 0, 1
4.186678937500000, 0, 0, 1, 0, 1
4.186679062500000, 0, 0, 0, 0, 1
4.186679187500000, 0, 0, 1, 0, 1
4.186679312500000, 0, 0, 0, 0, 1
4.186679437500000, 0, 0, 1, 0, 1
4.186679499999999, 0, 0, 0, 0, 1
4.186679625000000, 0, 0, 1, 0, 1
4.186679750000000, 0, 0, 0, 0, 1
4.186679874999999, 0, 0, 1, 0, 1
4.186679937500000, 1, 0, 0, 0, 1
4.186681000000000, 1, 0, 0, 1, 1
4.186682625000000, 1, 1, 0, 1, 1
4.188962750000000, 1, 1, 0, 0, 1
4.188962812500000, 1, 0, 0, 0, 1
4.188963125000000, 0, 0, 0, 0, 1
4.188963312499999, 0, 0, 1, 0, 1
4.188963437500000, 0, 0, 0, 0, 1
4.188963562500000, 0, 0, 1, 0, 1
4.188963625000000, 1, 0, 0, 0, 1
4.188963687499999, 1, 1, 0, 0, 1
4.188963750000000, 1, 1, 1, 0, 1
4.188963875000000, 0, 0, 0, 0, 1
4.188963999999999, 0, 0, 1, 0, 1
4.188964125000000, 0, 1, 0, 0, 1
4.188964187500000, 0, 1, 1, 0, 1
4.188964312500000, 1, 1, 0, 0, 1
4.188964437500000, 1, 1, 1, 0, 1
4.188964562500000, 0, 1, 0, 0, 1
4.188964625000000, 0, 1, 1, 0, 1
4.188964750000000, 1, 1, 0, 0, 1
4.188964812500000, 1, 0, 0, 0, 1
4.188964875000000, 1, 0, 1, 0, 1
4.188965000000000, 0, 0, 0, 0, 1
4.188965625000000, 0, 0, 1, 0, 1
4.188965687500000, 0, 0, 0, 0, 1
4.188965812500000, 0, 0, 1, 0, 1
4.188965937500000, 0, 0, 0, 0, 1
4.188966062500000, 0, 0, 1, 0, 1
4.188966124999999, 1, 0, 0, 0, 1
4.188966250000000, 1, 0, 1, 0, 1
4.188966375000000, 0, 0, 0, 0, 1
4.188966499999999, 0, 0, 1, 0, 1
4.188966625000000, 1, 0, 0, 0, 1
4.188966687500000, 1, 0, 1, 0, 1
4.188966812499999, 0, 0, 0, 0, 1
4.188966937500000, 0, 0, 1, 0, 1
4.188967062500000, 0, 0, 0, 0, 1
4.188967125000000, 0, 0, 1, 0, 1
4.188967250000000, 0, 0, 0, 0, 1
4.188968125000000, 0, 0, 0, 1, 1
4.188969250000000, 0, 0, 0, 0, 1
4.188969562500000, 1, 0, 0, 0, 1
4.188969750000000, 1, 0, 1, 0, 1
4.188969875000000, 0, 0, 0, 0, 1
4.188969999999999, 0, 0, 1, 0, 1
4.188970125000000, 1, 1, 0, 0, 1
4.188970187500000, 1, 1, 1, 0, 1
4.188970312500000, 0, 1, 0, 0, 1
4.188970375000000, 0, 0, 0, 0, 1
4.188970437500000, 0, 0, 1, 0, 1
4.188970562500000, 0, 1, 0, 0, 1
4.188970625000000, 0, 1, 1, 0, 1
4.188970750000000, 0, 1, 0, 0, 1
4.188970875000000, 0, 1, 1, 0, 1
4.188971000000000, 0, 1, 0, 0, 1
4.188971125000000, 0, 1, 1, 0, 1
4.188971187500000, 0, 1, 0, 0, 1
4.188971250000000, 0, 0, 0, 0, 1
4.188971312500000, 0, 0, 1, 0, 1
4.188971437500000, 1, 0, 0, 0, 1
4.188971875000000, 0, 0, 0, 0, 1
4.188972062500000, 0, 0, 1, 0, 1
4.188972187500000, 0, 0, 0, 0, 1
4.188972312500000, 0, 0, 1, 0, 1
4.188972375000000, 0, 0, 0, 0, 1
4.188972500000000, 0, 0, 1, 0, 1
4.188972625000000, 0, 0, 0, 0, 1
4.188972750000000, 0, 0, 1, 0, 1
4.188972875000000, 1, 0, 0, 0, 1
4.188972937500000, 1, 0, 1, 0, 1
4.188973062500000, 0, 0, 0, 0, 1
4.188973187500000, 0, 0, 1, 0, 1
4.188973312500000, 1, 0, 0, 0, 1
4.188973375000000, 1, 0, 1, 0, 1
4.188973499999999, 0, 0, 0, 0, 1
4.188973625000000, 0, 0, 1, 0, 1
4.188973750000000, 0, 0, 0, 0, 1
4.188974500000000, 0, 0, 1, 0, 1
4.188974625000000, 0, 0, 0, 0, 1
4.188974687500000, 0, 0, 1, 0, 1
4.188974812500000, 0, 0, 0, 0, 1
4.188974937499999, 0, 0, 1, 0, 1
4.188975062500000, 0, 0, 0, 0, 1
4.188975187500000, 0, 0, 1, 0, 1
4.188975249999999, 0, 0, 0, 0, 1
4.188975375000000, 0, 0, 1, 0, 1
4.188975500000000, 0, 0, 0, 0, 1
4.188975624999999, 0, 0, 1, 0, 1
4.188975687500000, 0, 0, 0, 0, 1
4.188975812500000, 0, 0, 1, 0, 1
4.188975937500000, 0, 0, 0, 0, 1
4.188976062500000, 0, 0, 1, 0, 1
4.188976125000000, 0, 0, 0, 0, 1
4.188976937500000, 0, 0, 1, 0, 1
4.188977000000000, 0, 0, 0, 0, 1
4.188977125000000, 0, 0, 1, 0, 1
4.188977250000000, 0, 0, 0, 0, 1
4.188977374999999, 0, 0, 1, 0, 1
4.188977437500000, 0, 0, 0, 0, 1
4.188977562500000, 0, 0, 1, 0, 1
4.188977687500000, 0, 0, 0, 0, 1
4.188977812500000, 0, 0, 1, 0, 1
4.188977875000000, 0, 0, 0, 0, 1
4.188978000000000, 0, 0, 1, 0, 1
4.188978125000000, 0, 0, 0, 0, 1
4.188978250000000, 0, 0, 1, 0, 1
4.188978375000000, 0, 0, 0, 0, 1
4.188978437499999, 0, 0, 1, 0, 1
4.188978562500000, 0, 0, 0, 0, 1
4.188979312500000, 0, 0, 1, 0, 1
4.188979437500000, 0, 0, 0, 0, 1
4.188979562500000, 0, 0, 1, 0, 1
4.188979687500000, 1, 0, 0, 0, 1
4.188979750000000, 1, 0, 1, 0, 1
