Time[s], MOSI, MISO, SPI_CLK, SPI_SS, PKT_flag, RESET_n
0.000170250000000, 0, 0, 0, 0, 0, 1
0.000171250000000, 0, 0, 1, 0, 0, 1
0.000172125000000, 0, 0, 0, 0, 0, 1
0.000173125000000, 0, 0, 1, 0, 0, 1
0.000174125000000, 0, 0, 0, 0, 0, 1
0.000175000000000, 0, 0, 1, 0, 0, 1
0.000176000000000, 0, 0, 0, 0, 0, 1
0.000176875000000, 0, 0, 1, 0, 0, 1
0.000177875000000, 0, 0, 0, 0, 0, 1
0.000178750000000, 0, 0, 1, 0, 0, 1
0.000178875000000, 1, 0, 1, 0, 0, 1
0.000179750000000, 1, 0, 0, 0, 0, 1
0.000180750000000, 0, 0, 1, 0, 0, 1
0.000181625000000, 0, 0, 0, 0, 0, 1
0.000182625000000, 0, 1, 1, 0, 0, 1
0.000183500000000, 0, 1, 0, 0, 0, 1
0.000187375000000, 1, 0, 1, 0, 0, 1
0.000188250000000, 1, 0, 0, 0, 0, 1
0.000189250000000, 0, 0, 1, 0, 0, 1
0.000190250000000, 0, 0, 0, 0, 0, 1
0.000191125000000, 0, 0, 1, 0, 0, 1
0.000192125000000, 0, 0, 0, 0, 0, 1
0.000193000000000, 1, 0, 1, 0, 0, 1
0.000194000000000, 1, 0, 0, 0, 0, 1
0.000195000000000, 1, 0, 1, 0, 0, 1
0.000195875000000, 1, 0, 0, 0, 0, 1
0.000196875000000, 1, 0, 1, 0, 0, 1
0.000197750000000, 1, 0, 0, 0, 0, 1
0.000198750000000, 0, 0, 1, 0, 0, 1
0.000199625000000, 0, 0, 0, 0, 0, 1
0.000200625000000, 0, 1, 1, 0, 0, 1
0.000201625000000, 0, 1, 0, 0, 0, 1
0.000205375000000, 1, 0, 1, 0, 0, 1
0.000206375000000, 1, 0, 0, 0, 0, 1
0.000207375000000, 1, 0, 1, 0, 0, 1
0.000208250000000, 1, 0, 0, 0, 0, 1
0.000209250000000, 0, 0, 1, 0, 0, 1
0.000210125000000, 0, 0, 0, 0, 0, 1
0.000211125000000, 0, 0, 1, 0, 0, 1
0.000212000000000, 0, 0, 0, 0, 0, 1
0.000213000000000, 1, 0, 1, 0, 0, 1
0.000214000000000, 1, 0, 0, 0, 0, 1
0.000214875000000, 0, 0, 1, 0, 0, 1
0.000215875000000, 0, 0, 0, 0, 0, 1
0.000216750000000, 0, 0, 1, 0, 0, 1
0.000217750000000, 0, 0, 0, 0, 0, 1
0.000218750000000, 1, 1, 1, 0, 0, 1
0.000219625000000, 1, 1, 0, 0, 0, 1
0.000221500000000, 1, 1, 0, 1, 0, 1
0.000222875000000, 1, 1, 0, 0, 0, 1
0.000225000000000, 0, 0, 1, 0, 0, 1
0.000226000000000, 0, 0, 0, 0, 0, 1
0.000226875000000, 0, 0, 1, 0, 0, 1
0.000227875000000, 0, 0, 0, 0, 0, 1
0.000228875000000, 0, 0, 1, 0, 0, 1
0.000229750000000, 0, 0, 0, 0, 0, 1
0.000230750000000, 0, 0, 1, 0, 0, 1
0.000231625000000, 0, 0, 0, 0, 0, 1
0.000232625000000, 0, 0, 1, 0, 0, 1
0.000233500000000, 0, 0, 0, 0, 0, 1
0.000234500000000, 1, 0, 1, 0, 0, 1
0.000235500000000, 1, 0, 0, 0, 0, 1
0.000236375000000, 0, 0, 1, 0, 0, 1
0.000237375000000, 0, 0, 0, 0, 0, 1
0.000238250000000, 1, 1, 1, 0, 0, 1
0.000239250000000, 1, 1, 0, 0, 0, 1
0.000243000000000, 0, 0, 1, 0, 0, 1
0.000244000000000, 0, 0, 0, 0, 0, 1
0.000245000000000, 1, 0, 1, 0, 0, 1
0.000245875000000, 1, 0, 0, 0, 0, 1
0.000246875000000, 1, 0, 1, 0, 0, 1
0.000247750000000, 1, 0, 0, 0, 0, 1
0.000248750000000, 0, 0, 1, 0, 0, 1
0.000249750000000, 0, 0, 0, 0, 0, 1
0.000250625000000, 0, 0, 1, 0, 0, 1
0.000251625000000, 0, 0, 0, 0, 0, 1
0.000252500000000, 1, 0, 1, 0, 0, 1
0.000253500000000, 1, 0, 0, 0, 0, 1
0.000254375000000, 1, 0, 1, 0, 0, 1
0.000255375000000, 1, 0, 0, 0, 0, 1
0.000256375000000, 0, 1, 1, 0, 0, 1
0.000257250000000, 0, 1, 0, 0, 0, 1
0.000261125000000, 0, 0, 1, 0, 0, 1
0.000262000000000, 0, 0, 0, 0, 0, 1
0.000263000000000, 0, 0, 1, 0, 0, 1
0.000264000000000, 0, 0, 0, 0, 0, 1
0.000264875000000, 1, 0, 1, 0, 0, 1
0.000265875000000, 1, 0, 0, 0, 0, 1
0.000266750000000, 1, 0, 1, 0, 0, 1
0.000267750000000, 1, 0, 0, 0, 0, 1
