Time [s],MOSI,MISO,SCK,NRF_CS,NRF_CE,RESET_n,Channel 6,Channel 7
2.201855083,0,0,1,0,1,1,1,1
2.201855208,0,0,0,0,1,1,1,1
2.201855292,0,0,1,0,1,1,1,1
2.201855417,0,0,0,0,1,1,1,1
2.201855542,0,0,1,0,1,1,1,1
2.201855625,0,0,0,0,1,1,1,1
2.201855750,0,0,1,0,1,1,1,1
2.201855875,0,0,0,0,1,1,1,1
2.201856792,0,0,0,1,1,1,1,1
2.201857875,0,0,0,0,1,1,1,1
2.201858208,1,0,0,0,1,1,1,1
2.201858417,1,0,1,0,1,1,1,1
2.201858542,1,0,0,0,1,1,1,1
2.201858667,1,0,1,0,1,1,1,1
2.201858750,1,0,0,0,1,1,1,1
2.201858875,1,0,1,0,1,1,1,1
2.201858958,1,0,0,0,1,1,1,1
2.201859000,0,0,0,0,1,1,1,1
2.201859083,0,0,1,0,1,1,1,1
2.201859208,0,1,0,0,1,1,1,1
2.201859333,0,1,1,0,1,1,1,1
2.201859417,0,1,0,0,1,1,1,1
2.201859542,0,1,1,0,1,1,1,1
2.201859625,0,1,0,0,1,1,1,1
2.201859667,1,1,0,0,1,1,1,1
2.201859750,1,1,1,0,1,1,1,1
2.201859875,0,0,0,0,1,1,1,1
2.201860000,0,0,1,0,1,1,1,1
2.201860083,1,0,0,0,1,1,1,1
2.201860958,1,0,0,1,1,1,1,1
2.201861958,1,0,0,0,1,1,1,1
2.201862333,0,0,0,0,1,1,1,1
2.201862542,0,0,1,0,1,1,1,1
2.201862625,0,0,0,0,1,1,1,1
2.201862750,0,0,1,0,1,1,1,1
2.201862875,1,0,0,0,1,1,1,1
2.201863000,1,0,1,0,1,1,1,1
2.201863083,0,0,0,0,1,1,1,1
2.201863208,0,0,1,0,1,1,1,1
2.201863333,0,1,0,0,1,1,1,1
2.201863417,0,1,1,0,1,1,1,1
2.201863542,0,1,0,0,1,1,1,1
2.201863667,0,1,1,0,1,1,1,1
2.201863750,0,1,0,0,1,1,1,1
2.201863875,0,1,1,0,1,1,1,1
2.201864000,0,0,0,0,1,1,1,1
2.201864083,0,0,1,0,1,1,1,1
2.201864208,0,0,0,0,1,1,1,1
2.201864833,0,0,1,0,1,1,1,1
2.201864917,0,0,0,0,1,1,1,1
2.201865042,0,0,1,0,1,1,1,1
2.201865167,0,0,0,0,1,1,1,1
2.201865250,0,0,1,0,1,1,1,1
2.201865375,0,0,0,0,1,1,1,1
2.201865500,0,0,1,0,1,1,1,1
2.201865583,0,0,0,0,1,1,1,1
2.201865708,0,0,1,0,1,1,1,1
2.201865833,0,0,0,0,1,1,1,1
2.201865917,0,0,1,0,1,1,1,1
2.201866042,1,0,0,0,1,1,1,1
2.201866167,1,0,1,0,1,1,1,1
2.201866250,1,0,0,0,1,1,1,1
2.201866375,1,0,1,0,1,1,1,1
2.201866500,0,0,0,0,1,1,1,1
2.201867375,0,0,0,1,1,1,1,1
2.201869125,0,1,0,1,1,1,1,1
2.206679625,0,0,0,0,1,1,1,1
2.206680167,0,0,1,0,1,1,1,1
2.206680292,0,0,0,0,1,1,1,1
2.206680417,0,0,1,0,1,1,1,1
2.206680500,0,0,0,0,1,1,1,1
2.206680625,0,0,1,0,1,1,1,1
2.206680750,0,0,0,0,1,1,1,1
2.206680833,0,0,1,0,1,1,1,1
2.206680958,0,1,0,0,1,1,1,1
2.206681083,0,1,1,0,1,1,1,1
2.206681167,1,1,0,0,1,1,1,1
2.206681292,1,1,1,0,1,1,1,1
2.206681417,1,1,0,0,1,1,1,1
2.206681500,1,1,1,0,1,1,1,1
2.206681625,1,0,0,0,1,1,1,1
2.206681750,1,0,1,0,1,1,1,1
2.206681833,0,0,0,0,1,1,1,1
2.206682583,0,0,1,0,1,1,1,1
2.206682667,0,0,0,0,1,1,1,1
2.206682792,0,0,1,0,1,1,1,1
2.206682917,0,0,0,0,1,1,1,1
2.206683000,0,0,1,0,1,1,1,1
2.206683125,0,0,0,0,1,1,1,1
2.206683250,0,0,1,0,1,1,1,1
2.206683333,0,0,0,0,1,1,1,1
2.206683375,0,1,0,0,1,1,1,1
2.206683458,0,1,1,0,1,1,1,1
2.206683583,0,1,0,0,1,1,1,1
2.206683667,0,1,1,0,1,1,1,1
2.206683792,0,1,0,0,1,1,1,1
2.206683917,0,1,1,0,1,1,1,1
2.206684000,0,1,0,0,1,1,1,1
2.206684042,0,0,0,0,1,1,1,1
2.206684125,0,0,1,0,1,1,1,1
2.206684250,0,0,0,0,1,1,1,1
2.206685375,0,0,0,1,1,1,1,1
2.206687083,0,1,0,1,1,1,1,1
2.206696667,0,0,0,0,1,1,1,1
2.206697250,0,0,1,0,1,1,1,1
2.206697333,0,0,0,0,1,1,1,1
2.206697458,0,0,1,0,1,1,1,1
2.206697583,1,0,0,0,1,1,1,1
2.206697667,1,0,1,0,1,1,1,1
2.206697792,0,0,0,0,1,1,1,1
2.206697917,0,0,1,0,1,1,1,1
2.206698000,0,0,0,0,1,1,1,1
2.206698042,0,1,0,0,1,1,1,1
2.206698125,0,1,1,0,1,1,1,1
2.206698250,1,1,0,0,1,1,1,1
2.206698333,1,1,1,0,1,1,1,1
2.206698458,1,1,0,0,1,1,1,1
2.206698583,1,1,1,0,1,1,1,1
2.206698667,1,1,0,0,1,1,1,1
2.206698708,1,0,0,0,1,1,1,1
2.206698792,1,0,1,0,1,1,1,1
2.206698917,0,0,0,0,1,1,1,1
