Time[s], MOSI, MISO, SCK, CSN, CE, IRQ
0.181350750000000, 1, 0, 0, 1, 0, 1
0.181351750000000, 1, 1, 0, 1, 0, 1
0.181356625000000, 1, 0, 0, 0, 0, 1
0.181368125000000, 0, 0, 0, 0, 0, 1
0.181369125000000, 0, 0, 1, 0, 0, 1
0.181373125000000, 0, 0, 0, 0, 0, 1
0.181376125000000, 0, 0, 1, 0, 0, 1
0.181380000000000, 0, 0, 0, 0, 0, 1
0.181381500000000, 1, 0, 0, 0, 0, 1
0.181383000000000, 1, 0, 1, 0, 0, 1
0.181387000000000, 1, 0, 0, 0, 0, 1
0.181390000000000, 1, 0, 1, 0, 0, 1
0.181394000000000, 1, 1, 0, 0, 0, 1
0.181397000000000, 1, 1, 1, 0, 0, 1
0.181400875000000, 1, 1, 0, 0, 0, 1
0.181402875000000, 0, 1, 0, 0, 0, 1
0.181403875000000, 0, 1, 1, 0, 0, 1
0.181407875000000, 0, 1, 0, 0, 0, 1
0.181410875000000, 0, 1, 1, 0, 0, 1
0.181414875000000, 0, 0, 0, 0, 0, 1
0.181416375000000, 1, 0, 0, 0, 0, 1
0.181417875000000, 1, 0, 1, 0, 0, 1
0.181421375000000, 1, 0, 0, 0, 0, 1
0.181430750000000, 0, 0, 0, 0, 0, 1
0.181431750000000, 0, 0, 1, 0, 0, 1
0.181435750000000, 0, 0, 0, 0, 0, 1
0.181438750000000, 0, 0, 1, 0, 0, 1
0.181442750000000, 0, 0, 0, 0, 0, 1
0.181445750000000, 0, 0, 1, 0, 0, 1
0.181449625000000, 0, 0, 0, 0, 0, 1
0.181452625000000, 0, 0, 1, 0, 0, 1
0.181456625000000, 0, 0, 0, 0, 0, 1
0.181459625000000, 0, 0, 1, 0, 0, 1
0.181463625000000, 0, 0, 0, 0, 0, 1
0.181465125000000, 1, 0, 0, 0, 0, 1
0.181466625000000, 1, 0, 1, 0, 0, 1
0.181470500000000, 1, 0, 0, 0, 0, 1
0.181473500000000, 1, 0, 1, 0, 0, 1
0.181477500000000, 1, 0, 0, 0, 0, 1
0.181479500000000, 0, 0, 0, 0, 0, 1
0.181480500000000, 0, 0, 1, 0, 0, 1
0.181484000000000, 0, 0, 0, 0, 0, 1
0.181493000000000, 1, 0, 0, 0, 0, 1
0.181494375000000, 1, 0, 1, 0, 0, 1
0.181498375000000, 1, 0, 0, 0, 0, 1
0.181500375000000, 0, 0, 0, 0, 0, 1
0.181501375000000, 0, 0, 1, 0, 0, 1
0.181505375000000, 0, 0, 0, 0, 0, 1
0.181506875000000, 1, 0, 0, 0, 0, 1
0.181508375000000, 1, 0, 1, 0, 0, 1
0.181512375000000, 1, 0, 0, 0, 0, 1
0.181514375000000, 0, 0, 0, 0, 0, 1
0.181515375000000, 0, 0, 1, 0, 0, 1
0.181519250000000, 0, 0, 0, 0, 0, 1
0.181520750000000, 1, 0, 0, 0, 0, 1
0.181522250000000, 1, 0, 1, 0, 0, 1
0.181526250000000, 1, 0, 0, 0, 0, 1
0.181528250000000, 0, 0, 0, 0, 0, 1
0.181529250000000, 0, 0, 1, 0, 0, 1
0.181533250000000, 0, 0, 0, 0, 0, 1
0.181534750000000, 1, 0, 0, 0, 0, 1
0.181536250000000, 1, 0, 1, 0, 0, 1
0.181540250000000, 1, 0, 0, 0, 0, 1
0.181542250000000, 0, 0, 0, 0, 0, 1
0.181543250000000, 0, 0, 1, 0, 0, 1
0.181546625000000, 0, 0, 0, 0, 0, 1
0.181555625000000, 1, 0, 0, 0, 0, 1
0.181557125000000, 1, 0, 1, 0, 0, 1
0.181561125000000, 1, 0, 0, 0, 0, 1
0.181563125000000, 0, 0, 0, 0, 0, 1
0.181564125000000, 0, 0, 1, 0, 0, 1
0.181568125000000, 0, 0, 0, 0, 0, 1
0.181569500000000, 1, 0, 0, 0, 0, 1
0.181571000000000, 1, 0, 1, 0, 0, 1
0.181575000000000, 1, 0, 0, 0, 0, 1
0.181577000000000, 0, 0, 0, 0, 0, 1
0.181578000000000, 0, 0, 1, 0, 0, 1
0.181582000000000, 0, 0, 0, 0, 0, 1
0.181585000000000, 0, 0, 1, 0, 0, 1
0.181589000000000, 0, 0, 0, 0, 0, 1
0.181592000000000, 0, 0, 1, 0, 0, 1
0.181595875000000, 0, 0, 0, 0, 0, 1
0.181597375000000, 1, 0, 0, 0, 0, 1
0.181598875000000, 1, 0, 1, 0, 0, 1
0.181602875000000, 1, 0, 0, 0, 0, 1
0.181604875000000, 0, 0, 0, 0, 0, 1
0.181605875000000, 0, 0, 1, 0, 0, 1
0.181609375000000, 0, 0, 0, 0, 0, 1
0.181618375000000, 1, 0, 0, 0, 0, 1
0.181619750000000, 1, 0, 1, 0, 0, 1
0.181623750000000, 1, 0, 0, 0, 0, 1
0.181626750000000, 1, 0, 1, 0, 0, 1
0.181630750000000, 1, 0, 0, 0, 0, 1
0.181632750000000, 0, 0, 0, 0, 0, 1
0.181633750000000, 0, 0, 1, 0, 0, 1
0.181637750000000, 0, 0, 0, 0, 0, 1
0.181639250000000, 1, 0, 0, 0, 0, 1
0.181640750000000, 1, 0, 1, 0, 0, 1
0.181644625000000, 1, 0, 0, 0, 0, 1
0.181647625000000, 1, 0, 1, 0, 0, 1
0.181651625000000, 1, 0, 0, 0, 0, 1
0.181653625000000, 0, 0, 0, 0, 0, 1
0.181654625000000, 0, 0, 1, 0, 0, 1
0.181658625000000, 0, 0, 0, 0, 0, 1
0.181660125000000, 1, 0, 0, 0, 0, 1
0.181661625000000, 1, 0, 1, 0, 0, 1
0.181665625000000, 1, 0, 0, 0, 0, 1
0.181668500000000, 1, 0, 1, 0, 0, 1
0.181672000000000, 1, 0, 0, 0, 0, 1
0.181676000000000, 1, 0, 0, 1, 0, 1
0.181677000000000, 1, 1, 0, 1, 0, 1
0.181688500000000, 1, 0, 0, 0, 0, 1
0.181693500000000, 0, 0, 0, 0, 0, 1
0.181694375000000, 0, 0, 1, 0, 0, 1
0.181698375000000, 0, 0, 0, 0, 0, 1
0.181701375000000, 0, 0, 1, 0, 0, 1
0.181705375000000, 0, 0, 0, 0, 0, 1
0.181706875000000, 1, 0, 0, 0, 0, 1
0.181708375000000, 1, 0, 1, 0, 0, 1
0.181712375000000, 1, 0, 0, 0, 0, 1
0.181715375000000, 1, 0, 1, 0, 0, 1
0.181719250000000, 1, 0, 0, 0, 0, 1
0.181719375000000, 1, 1, 0, 0, 0, 1
0.181722250000000, 1, 1, 1, 0, 0, 1
0.181726250000000, 1, 1, 0, 0, 0, 1
